Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD7500AAKS,WD,Blue 750GB (2008),477,42.1,2813,https://hdd.userbenchmark.com/SpeedTest/2292/WDC-WD7500AAKS-00RBA0
HDD,,Hitachi,HDP72505 500GB,478,42,240,https://hdd.userbenchmark.com/SpeedTest/5536/Hitachi-HDP72505
HDD,,Seagate,ST500LM0 ST500LM012 HN-M5 500GB,479,42,148,https://hdd.userbenchmark.com/SpeedTest/9065/ST500LM0-ST500LM012-HN-M5
HDD,,Hitachi,HDT721016SLA380 160GB,480,41.9,2013,https://hdd.userbenchmark.com/SpeedTest/10627/Hitachi-HDT721016SLA380
HDD,,Hitachi,HDT721032SLA 320GB,481,41.7,423,https://hdd.userbenchmark.com/SpeedTest/6947/Hitachi-HDT721032SLA
HDD,,Toshiba,MK2556GSY 250GB,482,41.7,831,https://hdd.userbenchmark.com/SpeedTest/4588/TOSHIBA-MK2556GSY
HDD,,Toshiba,MQ01ABD064 640GB,483,41.7,317,https://hdd.userbenchmark.com/SpeedTest/8271/TOSHIBA-MQ01ABD064
HDD,,Hitachi,HTS725050A9A364 500GB,484,41.6,4740,https://hdd.userbenchmark.com/SpeedTest/1690/Hitachi-HTS725050A9A364
HDD,,Toshiba,MK5061GSY 500GB,485,41.6,1498,https://hdd.userbenchmark.com/SpeedTest/2829/TOSHIBA-MK5061GSY
HDD,WD5000BPVX,WD,Blue 2.5 500GB,486,41.4,671,https://hdd.userbenchmark.com/SpeedTest/14364/WDC-WD5000BPVX-00JC3T0
HDD,,Toshiba,MK5056GSY 500GB,487,41.3,1844,https://hdd.userbenchmark.com/SpeedTest/2645/TOSHIBA-MK5056GSY
HDD,WD3200BEKT,WD,Black 2.5 320GB (2010),488,41.3,13877,https://hdd.userbenchmark.com/SpeedTest/35/WDC-WD3200BEKT-60V5T1
HDD,HDP725050GLA360,Hitachi,Deskstar P7K500 500GB,489,41.3,26985,https://hdd.userbenchmark.com/SpeedTest/745/Hitachi-HDP725050GLA360
HDD,,Seagate,ST500LM011 HM501II 500GB,490,41.3,87,https://hdd.userbenchmark.com/SpeedTest/12328/ST500LM011-HM501II
HDD,ST250LT007,Seagate,Momentus Thin 7200 2.5 250GB,491,41.2,851,https://hdd.userbenchmark.com/SpeedTest/5055/ST250LT007-9ZV14C
HDD,,Seagate,ST3160318AS 160GB,492,41.2,9379,https://hdd.userbenchmark.com/SpeedTest/1676/ST3160318AS
HDD,,Hitachi,HTS545050A7E380 500GB,493,41.1,35677,https://hdd.userbenchmark.com/SpeedTest/664/Hitachi-HTS545050A7E380
HDD,,WD,WD8088AADS-00M2B0 809GB,494,41,455,https://hdd.userbenchmark.com/SpeedTest/10079/WDC-WD8088AADS-00M2B0
HDD,WD5000AADS,WD,Green 500GB (2009),495,41,33461,https://hdd.userbenchmark.com/SpeedTest/1125/WDC-WD5000AADS-00S9B0
HDD,WD3200LPVT,WD,Blue 2.5 320GB (2012),496,40.9,331,https://hdd.userbenchmark.com/SpeedTest/458/WDC-WD3200LPVT-22G33T0
HDD,,Samsung,HM100UI 1TB,497,40.8,548,https://hdd.userbenchmark.com/SpeedTest/5426/SAMSUNG-HM100UI
HDD,,Toshiba,MQ01ABF032 320GB,498,40.7,3270,https://hdd.userbenchmark.com/SpeedTest/5425/TOSHIBA-MQ01ABF032
HDD,,Hitachi,HTS725025A9A364 250GB,499,40.6,1400,https://hdd.userbenchmark.com/SpeedTest/6783/Hitachi-HTS725025A9A364
HDD,WD7500AADS,WD,Green 750GB (2009),500,40.6,3228,https://hdd.userbenchmark.com/SpeedTest/3726/WDC-WD7500AADS-00M2B0
HDD,,WD,WD10EAVS-00D7B1 1TB,501,40.5,15512,https://hdd.userbenchmark.com/SpeedTest/256/WDC-WD10EAVS-00D7B1
HDD,WD1600AAJS,WD,Blue 160GB (2007),502,40.4,33284,https://hdd.userbenchmark.com/SpeedTest/1801/WDC-WD1600AAJS-00YZCA0
HDD,,Hitachi,HTS545050A7E680 500GB,503,40.3,37596,https://hdd.userbenchmark.com/SpeedTest/2870/HGST-HTS545050A7E680
HDD,,WD,WD10S21X-24R1BT0-SSHD-8GB 1TB,504,40.3,11571,https://hdd.userbenchmark.com/SpeedTest/12991/WDC-WD10S21X-24R1BT0-SSHD-8GB
HDD,,Toshiba,MK7559GSXP 750GB,505,40.3,3102,https://hdd.userbenchmark.com/SpeedTest/3733/TOSHIBA-MK7559GSXP
HDD,HTS541075A9E680,HGST,Travelstar 5K1000 2.5 750GB,506,40.2,14422,https://hdd.userbenchmark.com/SpeedTest/4988/HGST-HTS541075A9E680
HDD,,Hitachi,HTS725032A9A364 320GB,507,40.1,4144,https://hdd.userbenchmark.com/SpeedTest/3403/Hitachi-HTS725032A9A364
HDD,WD3200LPCX,WD,Blue 2.5 320GB (2013),508,40,352,https://hdd.userbenchmark.com/SpeedTest/14140/WDC-WD3200LPCX-24C6HT0
HDD,,Samsung,HD103UI 1TB,509,40,919,https://hdd.userbenchmark.com/SpeedTest/5608/SAMSUNG-HD103UI
HDD,ST500LT012,Seagate,Momentus Thin 5400.9 2.5 500GB,510,40,89859,https://hdd.userbenchmark.com/SpeedTest/1080/ST500LT012-9WS142
HDD,,,WL640GSA872 640GB,511,39.9,12,https://hdd.userbenchmark.com/SpeedTest/9895/WL640GSA872
HDD,,WD,WD10EVCS-63E0B0 1TB,512,39.8,226,https://hdd.userbenchmark.com/SpeedTest/1803/WDC-WD10EVCS-63E0B0
HDD,,Samsung,HN-M500MBB 500GB,513,39.8,2417,https://hdd.userbenchmark.com/SpeedTest/4774/SAMSUNG-HN-M500MBB
HDD,,Hitachi,HTS723232A7A364 320GB,514,39.7,7010,https://hdd.userbenchmark.com/SpeedTest/2190/HITACHI-HTS723232A7A364
HDD,,Seagate,ST640LM001 HN-M640MBB 640GB,515,39.7,628,https://hdd.userbenchmark.com/SpeedTest/2212/ST640LM001-HN-M640MBB
HDD,,Seagate,ST3250310CS 250GB,516,39.6,1818,https://hdd.userbenchmark.com/SpeedTest/7048/ST3250310CS
HDD,,WD,WD740ADFS-00SLR5 74GB,517,39.6,35,https://hdd.userbenchmark.com/SpeedTest/4376/WDC-WD740ADFS-00SLR5
HDD,,Seagate,ST750LM022 HN-M750MBB 750GB,518,39.6,17948,https://hdd.userbenchmark.com/SpeedTest/434/ST750LM022-HN-M750MBB
HDD,,WD,WD2500AVJS-63B6A0 250GB,520,39.6,1001,https://hdd.userbenchmark.com/SpeedTest/11610/WDC-WD2500AVJS-63B6A0
HDD,,Samsung,HD251HJ 250GB,521,39.4,1840,https://hdd.userbenchmark.com/SpeedTest/615/SAMSUNG-HD251HJ
HDD,,WD,WD1500ADFD-00NLR1 150GB,522,39.4,1435,https://hdd.userbenchmark.com/SpeedTest/1836/WDC-WD1500ADFD-00NLR1
HDD,,Toshiba,MK3265GSX H 320GB,523,39.4,553,https://hdd.userbenchmark.com/SpeedTest/6469/TOSHIBA-MK3265GSX-H
HDD,,Hitachi,HDP725050GLA 500GB,524,39.4,861,https://hdd.userbenchmark.com/SpeedTest/4070/Hitachi-HDP725050GLA
HDD,,WD,WD740ADFD-00NLR1 74GB,525,39.2,821,https://hdd.userbenchmark.com/SpeedTest/3613/WDC-WD740ADFD-00NLR1
HDD,WD2500AAJS,WD,Blue 250GB (2007),526,39.2,23705,https://hdd.userbenchmark.com/SpeedTest/1491/WDC-WD2500AAJS-22L7A0
HDD,,Toshiba,MK2561GSYN 250GB,527,39.2,1310,https://hdd.userbenchmark.com/SpeedTest/3299/TOSHIBA-MK2561GSYN
HDD,,WD,WD6400AACS-00G8B1 640GB,528,39.2,4529,https://hdd.userbenchmark.com/SpeedTest/2285/WDC-WD6400AACS-00G8B1
HDD,,WD,WD1600ADFS-60SLR2 160GB,529,39.1,239,https://hdd.userbenchmark.com/SpeedTest/10871/WDC-WD1600ADFS-60SLR2
HDD,,WD,WD5000AVDS-63U7B1 500GB,530,39,9192,https://hdd.userbenchmark.com/SpeedTest/3450/WDC-WD5000AVDS-63U7B1
HDD,,WD,WD5000ABYS-01TNA0 500GB,531,39,828,https://hdd.userbenchmark.com/SpeedTest/5181/WDC-WD5000ABYS-01TNA0
HDD,,Seagate,ST9250410AS 250GB,532,38.8,5251,https://hdd.userbenchmark.com/SpeedTest/525/ST9250410AS
HDD,,Hitachi,HTS54757 750GB,533,38.7,207,https://hdd.userbenchmark.com/SpeedTest/6112/Hitachi-HTS54757
HDD,,Samsung,HN-M101M 1TB,534,38.7,26,https://hdd.userbenchmark.com/SpeedTest/5762/SAMSUNG-HN-M101M
HDD,HDP725025GLA380,Hitachi,Deskstar P7K500 250GB,535,38.7,5975,https://hdd.userbenchmark.com/SpeedTest/372/Hitachi-HDP725025GLA380
HDD,,Toshiba,MQ01ABD032 320GB,536,38.7,5023,https://hdd.userbenchmark.com/SpeedTest/3087/TOSHIBA-MQ01ABD032
HDD,,Samsung,HN-M750MBB 750GB,537,38.5,701,https://hdd.userbenchmark.com/SpeedTest/121/SAMSUNG-HN-M750MBB
HDD,WD7500BPVT,WD,Blue 2.5 750GB (2010),538,38.5,18618,https://hdd.userbenchmark.com/SpeedTest/160/WDC-WD7500BPVT-24HXZT3
HDD,WD3200LPVX,WD,Blue 2.5 320GB,539,38.4,2903,https://hdd.userbenchmark.com/SpeedTest/3840/WDC-WD3200LPVX-75V0TT0
HDD,,Toshiba,MK7575GSX 750GB,540,38.3,4090,https://hdd.userbenchmark.com/SpeedTest/2614/TOSHIBA-MK7575GSX
HDD,,Maxtor,ST3320630NS 324GB,541,38.3,41,https://hdd.userbenchmark.com/SpeedTest/9541/Maxtor--ST3320630NS
HDD,,Hitachi,HUA721010KLA330 1TB,542,38.3,6153,https://hdd.userbenchmark.com/SpeedTest/3043/Hitachi-HUA721010KLA330
HDD,,WD,WD1500AHFD-00RAR5 150GB,543,38.3,684,https://hdd.userbenchmark.com/SpeedTest/1770/WDC-WD1500AHFD-00RAR5
HDD,,WD,WD10EACS-00ZJB0 1TB,544,38.2,15531,https://hdd.userbenchmark.com/SpeedTest/1758/WDC-WD10EACS-00ZJB0
HDD,,Hitachi,HDP725050GLAT80 500GB,545,38.2,109,https://hdd.userbenchmark.com/SpeedTest/2621/Hitachi-HDP725050GLAT80
HDD,,Hitachi,HDS721010KLA330 1TB,546,38.1,6081,https://hdd.userbenchmark.com/SpeedTest/2888/Hitachi-HDS721010KLA330
HDD,,WD,WD6400AAVS-00G9B1 640GB,547,38.1,1728,https://hdd.userbenchmark.com/SpeedTest/3045/WDC-WD6400AAVS-00G9B1
HDD,,Seagate,ST3320310CS 320GB,548,37.9,2544,https://hdd.userbenchmark.com/SpeedTest/10402/ST3320310CS
HDD,,WD,WD5000AVVS-63H0B1 500GB,549,37.8,5330,https://hdd.userbenchmark.com/SpeedTest/2986/WDC-WD5000AVVS-63H0B1
HDD,,Toshiba,MK1059GSM 1TB,550,37.8,2684,https://hdd.userbenchmark.com/SpeedTest/1480/TOSHIBA-MK1059GSM
HDD,WD5000AAJS,WD,Blue 500GB (2007),551,37.8,6263,https://hdd.userbenchmark.com/SpeedTest/610/WDC-WD5000AAJS-00YFA0
HDD,,Toshiba,MK6459GSX 640GB,552,37.6,161,https://hdd.userbenchmark.com/SpeedTest/1212/TOSHIBA-MK6459GSX
HDD,,Seagate,ST9320421AS 320GB,553,37.6,684,https://hdd.userbenchmark.com/SpeedTest/6523/ST9320421AS
HDD,HTS547575A9E384,Hitachi,Travelstar 5K750 750GB,554,37.4,20836,https://hdd.userbenchmark.com/SpeedTest/1367/Hitachi-HTS547575A9E384
HDD,,WD,WD10TPVT-00H 1TB,555,37.3,779,https://hdd.userbenchmark.com/SpeedTest/6175/WDC-WD10TPVT-00H
HDD,,Hitachi,HDT721025SLA380 250GB,556,37.2,1209,https://hdd.userbenchmark.com/SpeedTest/2907/Hitachi-HDT721025SLA380
HDD,,Samsung,HD200HJ 200GB,557,37.2,1602,https://hdd.userbenchmark.com/SpeedTest/1948/SAMSUNG-HD200HJ
HDD,,Hitachi,HTS54505 500GB,558,37.2,386,https://hdd.userbenchmark.com/SpeedTest/1400/Hitachi-HTS54505
HDD,,Hitachi,HDS721075KLA330 750GB,559,37.2,2551,https://hdd.userbenchmark.com/SpeedTest/1370/Hitachi-HDS721075KLA330
HDD,,Toshiba,MK6476GSXN 640GB,560,37.1,396,https://hdd.userbenchmark.com/SpeedTest/6224/TOSHIBA-MK6476GSXN
HDD,,Seagate,ST640LM000 HM641JI 640GB,561,37,923,https://hdd.userbenchmark.com/SpeedTest/9709/ST640LM000-HM641JI
HDD,,Seagate,ST9250421ASG 250GB,562,37,200,https://hdd.userbenchmark.com/SpeedTest/6246/ST9250421ASG
HDD,,WD,WD3200BJKT-00F4T0 320GB,563,37,443,https://hdd.userbenchmark.com/SpeedTest/6337/WDC-WD3200BJKT-00F4T0
HDD,,Seagate,ST9320423AS 320GB,564,36.9,6989,https://hdd.userbenchmark.com/SpeedTest/131/ST9320423AS
HDD,,Seagate,ST1000LM010-9YH146 1TB,565,36.8,1501,https://hdd.userbenchmark.com/SpeedTest/4168/ST1000LM010-9YH146
HDD,WD2500BEKT,WD,Black 2.5 250GB (2010),566,36.7,5492,https://hdd.userbenchmark.com/SpeedTest/4008/WDC-WD2500BEKT-00PVM
HDD,,Seagate,ST9320423ASG 320GB,567,36.7,213,https://hdd.userbenchmark.com/SpeedTest/7583/ST9320423ASG
HDD,,WD,WD5001ABYS-01YNA0 500GB,568,36.6,626,https://hdd.userbenchmark.com/SpeedTest/5765/WDC-WD5001ABYS-01YNA0
HDD,,WD,WD800ADFS-75SLR2 80GB,569,36.6,214,https://hdd.userbenchmark.com/SpeedTest/268/WDC-WD800ADFS-75SLR2
HDD,,Seagate,ST9750423AS 750GB,570,36.3,2114,https://hdd.userbenchmark.com/SpeedTest/935/ST9750423AS
HDD,,Seagate,ST1000LM002-9VQ14L 1TB,571,36.2,187,https://hdd.userbenchmark.com/SpeedTest/9979/ST1000LM002-9VQ14L
HDD,,Seagate,ST9320421ASG 320GB,572,36.2,214,https://hdd.userbenchmark.com/SpeedTest/10280/ST9320421ASG
HDD,,WD,WD1600BJKT-75F4T0 160GB,573,36.1,597,https://hdd.userbenchmark.com/SpeedTest/5905/WDC-WD1600BJKT-75F4T0
HDD,,Samsung,HM501II 500GB,574,36,653,https://hdd.userbenchmark.com/SpeedTest/8100/SAMSUNG-HM501II
HDD,HDP725032GLA360,Hitachi,Deskstar P7K500 320GB,575,36,3623,https://hdd.userbenchmark.com/SpeedTest/3494/Hitachi-HDP725032GLA360
HDD,,Toshiba,MK3256GSY 320GB,576,35.9,1025,https://hdd.userbenchmark.com/SpeedTest/5782/TOSHIBA-MK3256GSY
HDD,WD1600BPVT,WD,Blue 2.5 160GB (2010),577,35.8,175,https://hdd.userbenchmark.com/SpeedTest/4951/WDC-WD1600BPVT-22ZEST0
HDD,,WD,WD7500AACS-00D6B0 750GB,579,35.7,3038,https://hdd.userbenchmark.com/SpeedTest/3233/WDC-WD7500AACS-00D6B0
HDD,,Hitachi,HDS721032CLA362 320GB,580,35.7,6042,https://hdd.userbenchmark.com/SpeedTest/3419/Hitachi-HDS721032CLA362
HDD,,WD,WD1000FYPS-01ZKB0 1TB,581,35.7,943,https://hdd.userbenchmark.com/SpeedTest/9121/WDC-WD1000FYPS-01ZKB0
HDD,,Seagate,ST3320620NS 320GB,582,35.7,645,https://hdd.userbenchmark.com/SpeedTest/5481/ST3320620NS
HDD,,Seagate,ST9160411ASG 160GB,583,35.7,546,https://hdd.userbenchmark.com/SpeedTest/1633/ST9160411ASG
HDD,,Toshiba,MK1665GSX 160GB,584,35.6,666,https://hdd.userbenchmark.com/SpeedTest/9119/TOSHIBA-MK1665GSX
HDD,,Seagate,ST3250820NS 250GB,585,35.6,156,https://hdd.userbenchmark.com/SpeedTest/11777/ST3250820NS
HDD,HDP725040GLA360,Hitachi,Deskstar P7K500 400GB,586,35.6,430,https://hdd.userbenchmark.com/SpeedTest/5788/Hitachi-HDP725040GLA360
HDD,,,GB0500C4413 500GB,587,35.6,271,https://hdd.userbenchmark.com/SpeedTest/1828/GB0500C4413
HDD,,WD,WD5000AACS-00ZUB0 500GB,588,35.6,10447,https://hdd.userbenchmark.com/SpeedTest/1623/WDC-WD5000AACS-00ZUB0
HDD,,Seagate,ST3500830AS 500GB,589,35.5,4372,https://hdd.userbenchmark.com/SpeedTest/3724/ST3500830AS
HDD,WD5000BPVT,WD,Blue 2.5 500GB (2010),590,35.4,16286,https://hdd.userbenchmark.com/SpeedTest/2839/WDC-WD5000BPVT-75HXZT3
HDD,WD4000AAKS,WD,Blue 400GB (2008),591,35.4,1028,https://hdd.userbenchmark.com/SpeedTest/3883/WDC-WD4000AAKS-00YGA0
HDD,,Maxtor,STM3500630AS 500GB,592,35.4,1286,https://hdd.userbenchmark.com/SpeedTest/1780/MAXTOR-STM3500630AS
HDD,,Seagate,ST9640320AS 640GB,593,35.4,3210,https://hdd.userbenchmark.com/SpeedTest/492/ST9640320AS
HDD,,Seagate,ST3320820AS 320GB,594,35.4,8499,https://hdd.userbenchmark.com/SpeedTest/1469/ST3320820AS
HDD,,Toshiba,MK6465GSXN 640GB,595,35.3,944,https://hdd.userbenchmark.com/SpeedTest/1267/TOSHIBA-MK6465GSXN
HDD,,WD,WD1600AVJS-63SWA0 160GB,596,35.3,773,https://hdd.userbenchmark.com/SpeedTest/2491/WDC-WD1600AVJS-63SWA0
HDD,,Toshiba,MK6465GSX 640GB,597,35.2,2609,https://hdd.userbenchmark.com/SpeedTest/994/TOSHIBA-MK6465GSX
HDD,,WD,WD3201ABYS-01B9A0 320GB,598,35.1,286,https://hdd.userbenchmark.com/SpeedTest/6707/WDC-WD3201ABYS-01B9A0
HDD,,WD,WD1601ABYS-01C0A0 165GB,599,35,189,https://hdd.userbenchmark.com/SpeedTest/6509/WDC-WD1601ABYS-01C0A0
HDD,,Seagate,ST3300620AS 300GB,600,35,329,https://hdd.userbenchmark.com/SpeedTest/6252/ST3300620AS
HDD,,Samsung,HM251HI 250GB,601,35,500,https://hdd.userbenchmark.com/SpeedTest/6909/SAMSUNG-HM251HI
HDD,WD800AAJS,WD,Blue 80GB (2007),602,34.9,1943,https://hdd.userbenchmark.com/SpeedTest/1866/WDC-WD800AAJS-60B4A0
HDD,,Hitachi,Touro Mobile 3.0 1TB,603,34.9,578,https://hdd.userbenchmark.com/SpeedTest/3230/HGST-Touro-Mobile-30
HDD,,Maxtor,STM3320820AS 320GB,604,34.9,2635,https://hdd.userbenchmark.com/SpeedTest/1541/MAXTOR-STM3320820AS
HDD,,WD,WD5000AAVS-00ZTB0 500GB,605,34.8,7241,https://hdd.userbenchmark.com/SpeedTest/947/WDC-WD5000AAVS-00ZTB0
HDD,HD501LJ,Samsung,Spinpoint T166 500GB,606,34.8,22468,https://hdd.userbenchmark.com/SpeedTest/946/SAMSUNG-HD501LJ
HDD,,Seagate,ST3250620NS 250GB,607,34.7,990,https://hdd.userbenchmark.com/SpeedTest/3394/ST3250620NS
HDD,,Maxtor,STM3250820AS 250GB,608,34.7,1578,https://hdd.userbenchmark.com/SpeedTest/1310/MAXTOR-STM3250820AS
HDD,,Seagate,ST9640423AS 640GB,609,34.7,845,https://hdd.userbenchmark.com/SpeedTest/1709/ST9640423AS
HDD,,Seagate,ST3360320AS 360GB,610,34.6,4174,https://hdd.userbenchmark.com/SpeedTest/1850/ST3360320AS
HDD,,Samsung,HM641JI 640GB,611,34.6,6231,https://hdd.userbenchmark.com/SpeedTest/2867/SAMSUNG-HM641JI
HDD,,Seagate,ST3500630AS 500GB,612,34.6,17030,https://hdd.userbenchmark.com/SpeedTest/20/ST3500630AS
HDD,,Seagate,ST3400820AS 400GB,613,34.5,562,https://hdd.userbenchmark.com/SpeedTest/3144/ST3400820AS
HDD,,Hitachi,HTS723232L9SA60 320GB,614,34.5,259,https://hdd.userbenchmark.com/SpeedTest/6838/HITACHI-HTS723232L9SA60
HDD,ST3320620AS,Seagate,Barracuda 7200.10 320GB,615,34.5,21825,https://hdd.userbenchmark.com/SpeedTest/257/ST3320620AS
HDD,,WD,WD7500AYPS-01ZKB0 750GB,616,34.4,124,https://hdd.userbenchmark.com/SpeedTest/7309/WDC-WD7500AYPS-01ZKB0
